tweet,csv
@KimDotcom He needed time...to come where is he now...corona came just in moment when he was close to put Obama in jail...this is 3 movie in 1 GAME OF THRONES HUNGER GAME AND JOKER RT @irobertvadra: I am buying and gathering shoes slippers water biscuits packets of namkeens for their journey. They are the worst hit RT @yazarmuratakan: 31 lkeden Yabanc Turistler Trkiyede Covd-19 Tedavisi Grmek in Bavuru Yapt.  Sahra Hastaneleri Salk Turizm RT @indiokidauanus: j estou escolhendo minha roupa para o maior evento desse pas: a vacina pro coronavrus  VAI TOMAR NO CU CORONA https: , negative
tomara que esse lance da vacina do covid funcione mesmo no aguento mais  VAI TOMAR NO CU CORONA RT @IIBeingM44ll: My building 2nd floor lady Corona positive.... BC                #RIVM wakkert #massahysterie rond #Coronacrisis met opzet aan om #antivaxxers te bestrijden en nieuw draagvlak te creren voor #vaccineren . Daarom geen brede #coronatest . Iedereen moet denken dat #Corona overal is en de samenleving ontwricht in plaats van gericht te bestrijden RT @rohanrgupta: Modi Govt launched two new Ministers during Corona Crisis ! 1. Loan Minister 2. Translation Minister https://t.co/fRkOV8Pr RT @IQ_Stimulator: Es ist schon groartig  welches Genie in Greta Thunberg steckt. Erst Klimaexpertin jetzt Expertin fr Pandemien. Und d RT @praveendel: FM Smt @nsitharaman Traders across Country @TEAMCAIT are deeply upset & register protest for not including them in economic , negative
Di list dulu mau bucin kemana habis corona  https://t.co/cPRiOcIkI4 , negative
RT @kkkaushal_: When the whole world is helping each other in the corona epidemic private schools are harassing illegally for fees.  How s not to get political on tl but el gobierno literalmente no hizo nada ms que cubrir todo el tema del corona y minimizarlo para proteger la economa de chile pero ahora que se dieron cuenta cuanta gente muere al da es que vienen a hacer algo solo les importa la plata RT @tweetbarth: Was ich brigens sehr empfehlen kann: einfach mal mit Freunden aus England Frankreich oder Spanien ber deren Corona-Situa , negative
Why Corona Infection Started Spreading In These States After One Month  CORONA UPDATE :            https://t.co/2g77U7rzLB @MartineGoossen4 @funkyfever @GuntherMalin Waarom mochten dan al die met Corona besmette wintersporters wl het land binnen. Zonder quarantaine in Italie/Oostenrijk of Belgi Waren we daar 100% zeker van dat ze virusvrij waren Dat snap ik dan ook weer niet s. Zal weer aan mij liggen. Je bent te slim voor mij. vtmnc corona blalalalalalalalau RT @le_Parisien: #Coronavirus 25 nouveaux foyers pidmiques en France depuis lundi   Le ministre de la Sant assure que le systme pour , negative
RT @fateifatos: EU TO CHORANDO SE ISSO FOR VERDADE EU SOU A PESSOA MAIS FELIZ DO MUNDO  VAI TOMAR NO CU CORONA https://t.co/Ppo88Y5QtM @subtanyarl Lagi corona gini kepikiran beli baju lebaran aja engga:( RT @thakur_shivangi: Police officer breaks down when Home Minister @AnilDeshmukhNCP visited Shahu Nagar Police Station in #Dharavi. Today o , negative
RT @JustusBender: Sehr hbscher Text: @_freidel im Wunderland der Corona-Theoretiker. Don't follow the white rabbit!  https://t.co/BCbc6zx RT @AQUIBMIR7: First batch of Rashtriya Swayamsevak Sangh (RSS) volunteers going out in Mumbai to test people for Corona infection. Rss st RT @OpIndia_in:                            RT @TanYoana: Melalui Pemilu Yg Sarat Peni"PUAN" Dapatlah Ketua Perem"PUAN" Yg Sama Sekali Tak Punya Kemam"PUAN"  @idtodayco  Puan Mahar , negative
#KotaUniversity #covid19 @ashokgehlot51 @GovindDotasra RT @MomenMo17374219: GENERAL SECONDARY EXAMS WILL BE HELD IN 7TH JUNE SACRIFICING THE LIFE OF 750K STUDENT - OUR FUCKING LIVES IS THREATENE sama Tuhan percaya sama corona enggak RT @datuakrajoangek: Alhamdulillah akhi. Abis ini biasanya beliau langsung kita panggil ustadz dan ngisi pengajian di mana2. Yang kasian ya RT @simonwiesenthal: Even before pandemic politicians from both sides of the political aisle misappropriate Hitler Swastika Nazi imagery. , negative
RT @IQ_Stimulator: Es ist schon groartig  welches Genie in Greta Thunberg steckt. Erst Klimaexpertin jetzt Expertin fr Pandemien. Und d RT @YANAGI_0828: 4 Goeie actie , negative
RT @PeterSellei: Lfven mtte utlndsk press om Sverige och #COVID19 mste ses! Hr den korta sekvensen fngad nr han funderar kring smit Playing with people's lives is nothing new for immature stupid leaders full of arrogance n stubborn attitude... is it necessary for Restaurants n Malls now when you are having damning reports of lagging n failure in efforts to contain CORONA  https://t.co/x8l41628MH , negative
RT @swetatripathi14: #CoronaWarriors are fighting for people but who is fighting for themThis is the case from one of the #Lucknow based @ , negative
